train_dataset,test_dataset,outcome,rows,share
cm_splits_codemixed,cm_splits_codemixed,both_correct,303,0.7301204819277108
cm_splits_codemixed,cm_splits_codemixed,both_wrong_same_prediction,57,0.13734939759036144
cm_splits_codemixed,cm_splits_codemixed,mbert_only_correct,31,0.0746987951807229
cm_splits_codemixed,cm_splits_codemixed,muril_only_correct,24,0.05783132530120482
cm_splits_codemixed,kaggle_hinglish_hate,both_correct,385,0.4027196652719665
cm_splits_codemixed,kaggle_hinglish_hate,both_wrong_same_prediction,318,0.33263598326359833
cm_splits_codemixed,kaggle_hinglish_hate,mbert_only_correct,117,0.12238493723849372
cm_splits_codemixed,kaggle_hinglish_hate,muril_only_correct,136,0.14225941422594143
cm_splits_codemixed,thar_religion,both_correct,1081,0.467965367965368
cm_splits_codemixed,thar_religion,both_wrong_same_prediction,635,0.2748917748917749
cm_splits_codemixed,thar_religion,mbert_only_correct,295,0.1277056277056277
cm_splits_codemixed,thar_religion,muril_only_correct,299,0.12943722943722943
kaggle_hinglish_hate,cm_splits_codemixed,both_correct,241,0.5807228915662651
kaggle_hinglish_hate,cm_splits_codemixed,both_wrong_same_prediction,121,0.29156626506024097
kaggle_hinglish_hate,cm_splits_codemixed,mbert_only_correct,21,0.05060240963855422
kaggle_hinglish_hate,cm_splits_codemixed,muril_only_correct,32,0.07710843373493977
kaggle_hinglish_hate,kaggle_hinglish_hate,both_correct,601,0.6286610878661087
kaggle_hinglish_hate,kaggle_hinglish_hate,both_wrong_same_prediction,229,0.2395397489539749
kaggle_hinglish_hate,kaggle_hinglish_hate,mbert_only_correct,82,0.08577405857740586
kaggle_hinglish_hate,kaggle_hinglish_hate,muril_only_correct,44,0.04602510460251046
kaggle_hinglish_hate,thar_religion,both_correct,1103,0.47748917748917746
kaggle_hinglish_hate,thar_religion,both_wrong_same_prediction,973,0.4212121212121212
kaggle_hinglish_hate,thar_religion,mbert_only_correct,111,0.048051948051948054
kaggle_hinglish_hate,thar_religion,muril_only_correct,123,0.053246753246753244
thar_religion,cm_splits_codemixed,both_correct,233,0.5614457831325301
thar_religion,cm_splits_codemixed,both_wrong_same_prediction,93,0.22409638554216868
thar_religion,cm_splits_codemixed,mbert_only_correct,38,0.09156626506024096
thar_religion,cm_splits_codemixed,muril_only_correct,51,0.12289156626506025
thar_religion,kaggle_hinglish_hate,both_correct,438,0.4581589958158996
thar_religion,kaggle_hinglish_hate,both_wrong_same_prediction,386,0.40376569037656906
thar_religion,kaggle_hinglish_hate,mbert_only_correct,68,0.07112970711297072
thar_religion,kaggle_hinglish_hate,muril_only_correct,64,0.06694560669456066
thar_religion,thar_religion,both_correct,1639,0.7095238095238096
thar_religion,thar_religion,both_wrong_same_prediction,422,0.18268398268398267
thar_religion,thar_religion,mbert_only_correct,89,0.03852813852813853
thar_religion,thar_religion,muril_only_correct,160,0.06926406926406926
