train_dataset,test_dataset,best_transformer,transformer_f1_macro,best_baseline,baseline_f1_macro,transformer_minus_baseline,transformer_recall_positive,baseline_recall_positive
cm_splits_codemixed,cm_splits_codemixed,mbert,0.7828502399855297,tfidf_logistic_regression,0.7757300188211618,0.007120221164367946,0.6870748299319728,0.7551020408163265
cm_splits_codemixed,kaggle_hinglish_hate,muril,0.5336506921899443,tfidf_linear_svm,0.4859178597835585,0.04773283240638582,0.4986595174262734,0.4423592493297587
cm_splits_codemixed,thar_religion,muril,0.5968946458272038,tfidf_linear_svm,0.5380930740291319,0.05880157179807188,0.5948670944087993,0.5673693858845096
kaggle_hinglish_hate,cm_splits_codemixed,mbert,0.5138543285684753,tfidf_linear_svm,0.3934762229170669,0.12037810565140844,0.1972789115646258,0.6326530612244898
kaggle_hinglish_hate,kaggle_hinglish_hate,mbert,0.6556482225485578,tfidf_logistic_regression,0.6144792421363443,0.04116898041221351,0.3860589812332439,0.5522788203753352
kaggle_hinglish_hate,thar_religion,mbert,0.4475367667275626,tfidf_logistic_regression,0.499245242651516,-0.05170847592395339,0.1585701191567369,0.618698441796517
thar_religion,cm_splits_codemixed,muril,0.6511508524714291,tfidf_logistic_regression,0.6091688772906018,0.04198197518082736,0.5306122448979592,0.3469387755102041
thar_religion,kaggle_hinglish_hate,muril,0.4617437545885667,tfidf_logistic_regression,0.5103542906283395,-0.04861053603977278,0.2332439678284182,0.2680965147453083
thar_religion,thar_religion,muril,0.7786962650717835,tfidf_logistic_regression,0.7055197239208688,0.07317654115091465,0.8029330889092575,0.7021081576535289
