model_family,model,train_dataset,test_dataset,accuracy,recall_positive,f1_positive,f1_macro,tn,fp,fn,tp
transformer,mbert,kaggle_hinglish_hate,existing_79_row_benchmark,0.5189873417721519,0.0769230769230769,0.1363636363636363,0.4015151515151515,38,2,36,3
transformer,muril,kaggle_hinglish_hate,existing_79_row_benchmark,0.6455696202531646,0.358974358974359,0.5,0.6127450980392157,37,3,25,14
transformer,mbert,cm_splits_codemixed,existing_79_row_benchmark,0.4683544303797468,0.0256410256410256,0.0454545454545454,0.3385167464114832,36,4,38,1
transformer,muril,cm_splits_codemixed,existing_79_row_benchmark,0.5063291139240507,0.0256410256410256,0.048780487804878,0.3577235772357723,39,1,38,1
transformer,mbert,thar_religion,existing_79_row_benchmark,0.5189873417721519,0.0512820512820512,0.0952380952380952,0.3838259441707717,39,1,37,2
transformer,muril,thar_religion,existing_79_row_benchmark,0.5316455696202531,0.0512820512820512,0.0975609756097561,0.3906608296852199,40,0,37,2
tfidf_baseline,tfidf_logistic_regression,kaggle_hinglish_hate,existing_79_row_benchmark,0.5443037974683544,0.4615384615384615,0.5,0.5406976744186047,25,15,21,18
tfidf_baseline,tfidf_linear_svm,kaggle_hinglish_hate,existing_79_row_benchmark,0.4177215189873418,0.5128205128205128,0.4651162790697674,0.4131136950904392,13,27,19,20
tfidf_baseline,tfidf_logistic_regression,cm_splits_codemixed,existing_79_row_benchmark,0.6582278481012658,0.7435897435897436,0.6823529411764706,0.6562449637389203,23,17,10,29
tfidf_baseline,tfidf_linear_svm,cm_splits_codemixed,existing_79_row_benchmark,0.5822784810126582,0.4358974358974359,0.5074626865671642,0.5724126619649008,29,11,22,17
tfidf_baseline,tfidf_logistic_regression,thar_religion,existing_79_row_benchmark,0.5063291139240507,0.0512820512820512,0.0930232558139534,0.3769464105156723,38,2,37,2
tfidf_baseline,tfidf_linear_svm,thar_religion,existing_79_row_benchmark,0.3924050632911392,0.0512820512820512,0.0769230769230769,0.3120464441219158,29,11,37,2
