train_label,test_label,MuRIL,mBERT,muril_minus_mbert_macro_f1
All three,CM,0.7422274169310402,0.7448725998011825,-0.264518287014226
All three,Kaggle,0.6720213109460769,0.6886523969857303,-1.6631086039653464
All three,THAR,0.7624712536702234,0.740324303264821,2.2146950405402377
CM+THAR,CM,0.3923865300146413,0.7561941251596425,-36.38075951450011
CM+THAR,Kaggle,0.3788174139051332,0.4732268682189443,-9.44094543138111
CM+THAR,THAR,0.345423632757155,0.7560594064643047,-41.063577370714974
Kaggle+CM,CM,0.3923865300146413,0.7153414091214991,-32.295487910685786
Kaggle+CM,Kaggle,0.3788174139051332,0.6846029895994548,-30.578557569432157
Kaggle+CM,THAR,0.345423632757155,0.4928613506673442,-14.743771791018922
Kaggle+THAR,CM,0.5934744932559717,0.5408068042446541,5.2667689011317576
Kaggle+THAR,Kaggle,0.6661880762619159,0.6824920615662153,-1.630398530429944
Kaggle+THAR,THAR,0.7647816204382875,0.7493336911719257,1.5447929266361737
