model,train_dataset,test_dataset,matched_f1_macro,test_f1_macro,generalization_gap,recall_positive,f1_positive
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,0.6556482225485578,0.6556482225485578,0.0,0.3860589812332439,0.5133689839572193
mbert,kaggle_hinglish_hate,cm_splits_codemixed,0.6556482225485578,0.5138543285684753,0.14179389398008246,0.1972789115646258,0.2748815165876777
mbert,kaggle_hinglish_hate,thar_religion,0.6556482225485578,0.4475367667275626,0.20811145582099522,0.1585701191567369,0.2399445214979195
muril,kaggle_hinglish_hate,kaggle_hinglish_hate,0.5656418235341383,0.5656418235341383,0.0,0.2225201072386059,0.3480083857442348
muril,kaggle_hinglish_hate,cm_splits_codemixed,0.5656418235341383,0.5042233140395747,0.06141850949456362,0.1428571428571428,0.2282608695652173
muril,kaggle_hinglish_hate,thar_religion,0.5656418235341383,0.4097007438028998,0.1559410797312385,0.0824931255728689,0.1424050632911392
mbert,cm_splits_codemixed,kaggle_hinglish_hate,0.7828502399855297,0.5164358165320784,0.26641442345345134,0.5013404825737265,0.4516908212560386
mbert,cm_splits_codemixed,cm_splits_codemixed,0.7828502399855297,0.7828502399855297,0.0,0.6870748299319728,0.7137809187279152
mbert,cm_splits_codemixed,thar_religion,0.7828502399855297,0.5830434500287565,0.19980678995677326,0.4463794683776352,0.510482180293501
muril,cm_splits_codemixed,kaggle_hinglish_hate,0.7481379310344828,0.5336506921899443,0.21448723884453846,0.4986595174262734,0.4609665427509293
muril,cm_splits_codemixed,cm_splits_codemixed,0.7481379310344828,0.7481379310344828,0.0,0.5510204081632653,0.648
muril,cm_splits_codemixed,thar_religion,0.7481379310344828,0.5968946458272038,0.15124328520727903,0.5948670944087993,0.5825852782764811
mbert,thar_religion,kaggle_hinglish_hate,0.748003589827024,0.4554650950847561,0.2925384947422679,0.2064343163538874,0.2549668874172185
mbert,thar_religion,cm_splits_codemixed,0.748003589827024,0.5984302763143747,0.14957331351264924,0.4013605442176871,0.4503816793893129
mbert,thar_religion,thar_religion,0.748003589827024,0.748003589827024,0.0,0.7772685609532539,0.7445127304653204
muril,thar_religion,kaggle_hinglish_hate,0.7786962650717835,0.4617437545885667,0.31695251048321677,0.2332439678284182,0.2770700636942675
muril,thar_religion,cm_splits_codemixed,0.7786962650717835,0.6511508524714291,0.12754541260035435,0.5306122448979592,0.5435540069686411
muril,thar_religion,thar_religion,0.7786962650717835,0.7786962650717835,0.0,0.8029330889092575,0.7741935483870968
